INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER,lon,lat,demand_point,distance
Break and Enter - Business,11000 124TH ST,1,2020,20-680,-122.878468,49.2021967,59152187,1.5196888745002854
Break and Enter - Business,13900 104TH AVE,1,2020,20-1128,-122.8369327,49.19122,59152204,1.7243492899606394
Break and Enter - Business,11100 SCOTT RD,1,2020,20-1173,-122.87752730000001,49.2032884,59152187,2.8386186040105224
Break and Enter - Business,10500 UNIVERSITY DR,1,2020,20-1191,-122.850623,49.193487,59153386,1.8498789977633256
Break and Enter - Business,10400 138TH ST,1,2020,20-1298,-122.83751969999999,49.1503782,59151980,3.6955591279467415
Break and Enter - Business,10300 CITY PKWY,1,2020,20-1749,-122.84769229999999,49.189812599999996,59152203,4.210692555182083
Break and Enter - Business,13600 105TH AVE,1,2020,20-2221,-122.846102,49.1930081,59153386,5.175761707174077
Break and Enter - Business,10300 CITY PKWY,1,2020,20-2452,-122.84769229999999,49.189812599999996,59152203,4.210692555182083
Break and Enter - Business,12300 BLOCK MUSQUEAM DR,1,2020,20-2626,-122.88546720000001,49.2073941,59152964,7.307181183381392
Break and Enter - Business,10700 138TH ST,1,2020,20-2690,-122.83939740000001,49.1970261,59151932,1.4572202332328354
Break and Enter - Business,12900 115TH AVE,1,2020,20-3188,-122.86234479999999,49.2112303,59152965,3.959584166766983
Break and Enter - Business,10400 138TH ST,1,2020,20-3244,-122.83751969999999,49.1503782,59151980,3.6955591279467415
Break and Enter - Business,12600 110TH AVE,1,2020,20-3475,-122.8729642,49.202262,59152187,5.331456140266377
Break and Enter - Business,10400 138TH ST,1,2020,20-3665,-122.83751969999999,49.1503782,59151980,3.6955591279467415
Break and Enter - Business,10800 CITY PKWY,1,2020,20-3697,-122.8487967,49.198902600000004,59151931,2.0450787718984555
Break and Enter - Business,13500 106TH AVE,1,2020,20-3708,-122.8479065,49.1950202,59151931,3.8831306314922416
Break and Enter - Business,10500 UNIVERSITY DR,1,2020,20-3804,-122.850623,49.193487,59153386,1.8498789977633256
Break and Enter - Business,10200 133RD ST,1,2020,20-4133,-122.85404390000001,49.1879817,59152203,1.064016765378022
Break and Enter - Business,13600 100TH AVE,1,2020,20-6072,-122.84540590000002,49.1842491,59151949,1.8599179444682084
Break and Enter - Business,11800 103A AVE,1,2020,20-6673,-122.8972328,49.1916054,59152185,8.087673119601792
Break and Enter - Business,10600 140TH ST,1,2020,20-6780,-122.8341186,49.1951639,59151934,0.5778646621415126
Break and Enter - Business,10500 140TH ST,1,2020,20-7464,-122.83377659999998,49.19334179999999,59151934,2.479695105390064
Break and Enter - Business,13600 100TH AVE,1,2020,20-8005,-122.84540590000002,49.1842491,59151949,1.8599179444682084
Break and Enter - Business,13900 101ST AVE,1,2020,20-8144,-122.837189,49.1860376,59153563,1.7549986549420327
Break and Enter - Business,13200 108TH AVE,1,2020,20-8292,-122.85648059999998,49.1989606,59151922,2.4822216992714687
Break and Enter - Business,10800 CITY PKWY,1,2020,20-8334,-122.8487967,49.198902600000004,59151931,2.0450787718984555
Break and Enter - Business,12300 PATTULLO PL,1,2020,20-8517,-122.8801156,49.20419570000001,59152187,3.0879975590626834
Break and Enter - Business,13600 94A AVE,1,2020,20-9247,-122.8455084,49.174677700000004,59152209,3.1415334549411216
Break and Enter - Business,11000 OLSEN RD,1,2020,20-9516,-122.8904729,49.2024807,59152187,7.565093454524677
Break and Enter - Business,10400 132ND ST,1,2020,20-9860,-122.85644029999999,49.1916291,59151929,1.551997361912056
Break and Enter - Business,10200 CITY PKWY,1,2020,20-10230,-122.8477133,49.1885524,59152203,3.6508640245507697
Break and Enter - Business,10400 138TH ST,1,2020,20-10567,-122.83751969999999,49.1503782,59151980,3.6955591279467415
Break and Enter - Business,13600 100TH AVE,1,2020,20-10686,-122.84540590000002,49.1842491,59151949,1.8599179444682084
Break and Enter - Business,12600 110TH AVE,1,2020,20-10947,-122.8729642,49.202262,59152187,5.331456140266377
Break and Enter - Business,11300 BRIDGEVIEW DR,1,2020,20-11490,-122.866623,49.2080218,59152965,3.4491069895717312
Break and Enter - Business,13500 96TH AVE,1,2020,20-12756,-122.84844240000001,49.177046000000004,59152206,2.0807996774319966
Break and Enter - Business,11100 SCOTT RD,1,2020,20-12759,-122.87752730000001,49.2032884,59152187,2.8386186040105224
Break and Enter - Business,13500 106TH AVE,1,2020,20-13642,-122.8479065,49.1950202,59151931,3.8831306314922416
Break and Enter - Business,10600 138TH ST,1,2020,20-13664,-122.8393635,49.195223399999996,59151933,1.0753472269608615
Break and Enter - Business,13300 104TH AVE,1,2020,20-13707,-122.85366699999999,49.191512,59151929,0.9930947591364508
Break and Enter - Business,10700 CITY PKWY,1,2020,20-14149,-122.84850420000001,49.1970999,59151931,2.040976570033487
Break and Enter - Business,9400 KING GEORGE BLVD,1,2020,20-14182,-122.8458645,49.1736894,59152209,2.143656659099092
Break and Enter - Business,10200 133RD ST,1,2020,20-14235,-122.85404390000001,49.1879817,59152203,1.064016765378022
